distance,Wind speed @ 1m
0,1
47.4,1
74.2,1
102.3,1
129.7,1
157.8,1
185.2,1
213.4,1
240.8,1
267.5,1
294.2,1
320.9,1
346.9,1
373,1
399.7,1
426.4,1
453.2,1
480.6,1
508.7,1
535.5,1
563.6,1
591,1
619.8,1
648,1
677.5,1
704.9,1
730.3,1
752.1,1
767.7,1
783.9,1
801.1,1
819.4,1
838.4,1
858.3,1
878.5,1
895.1,1
909.8,1
926.7,0.8228161799
939.3,0.8228161799
948.3,0.8228161799
962.7,0.8228161799
983.1,0.8228161799
1005.8,0.8228161799
1019.3,0.8228161799
1034.8,0.8228161799
1043.6,0.8228161799
1051.6,0.8228161799
1060.7,0.8228161799
1077.1,0.8228161799
1086.1,0.8228161799
1094.4,0.8228161799
1103.4,0.8228161799
1122.4,0.8228161799
1131.4,0.8228161799
1141.5,0.8228161799
1150.4,0.8228161799
1170.5,0.8228161799
1180.7,0.8228161799
1190.9,0.8228161799
1200.9,0.8228161799
1220.9,0.8228161799
1230.9,0.8228161799
1242.1,0.8228161799
1252.1,0.8228161799
1262.3,0.8228161799
1283.1,0.8228161799
1293.4,0.8228161799
1302.7,0.8228161799
1320.9,0.8228161799
1329.9,0.8228161799
1338.9,0.8228161799
1347,0.8228161799
1356,0.8228161799
1371.2,0.8228161799
1379.8,0.8228161799
1387,0.8228161799
1403.4,0.8228161799
1411.2,0.8228161799
1426.7,0.8228161799
1434.5,0.8228161799
1450.9,0.8228161799
1458.6,0.8228161799
1467.1,0.8228161799
1483.5,0.8228161799
1491.9,0.8228161799
1499.7,0.8228161799
1516.7,0.8228161799
1524.4,0.8228161799
1533.6,0.8228161799
1542.3,0.8228161799
1550,0.8228161799
1567,0.8228161799
1575.5,0.8228161799
1584.1,0.8228161799
1592.5,0.8228161799
1608.9,0.8228161799
1616.6,0.8228161799
1625.3,0.8228161799
1633,0.8228161799
1649.4,0.8228161799
1658,0.8228161799
1666.1,0.8228161799
1673.9,0.8228161799
1690.5,0.8228161799
1698.3,0.8228161799
1706.4,0.8228161799
1715,0.8228161799
1730.8,0.8228161799
1738.5,0.8228161799
1747.1,0.8228161799
1755.2,0.8228161799
1771.9,0.8228161799
1779.5,0.8228161799
1787.1,0.8228161799
1795,0.8228161799
1811.7,0.8228161799
1819.7,0.8228161799
1828,0.8228161799
1843.6,0.8228161799
1852.2,0.8228161799
1860.3,0.8228161799
1867.5,0.8228161799
1876.9,0.8228161799
